observation --- [150, 382, 674, 285, 465, 868] info --- {'sequence': ['N302', 'N191', 'N32', 'E57', 'E45', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.461764812469482 logZ --- 1.079293966293335
observation --- [82, 162, 588, 858, 776, 868] info --- {'sequence': ['N718', 'N70', 'N271', 'E142', 'E105', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.389301776885986 logZ --- 1.0836751461029053
observation --- [818, 45, 102, 391, 312, 868] info --- {'sequence': ['N335', 'N352', 'N395', 'E220', 'E153', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.209010124206543 logZ --- 1.0836751461029053
observation --- [164, 255, 588, 457, 815, 868] info --- {'sequence': ['N292', 'N543', 'N271', 'E130', 'E156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.007230758666992 logZ --- 1.0836751461029053
observation --- [139, 346, 714, 763, 293, 868] info --- {'sequence': ['N44', 'N656', 'N697', 'E211', 'E9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.180672645568848 logZ --- 1.0836751461029053
observation --- [290, 675, 9, 764, 436, 868] info --- {'sequence': ['N512', 'N642', 'N238', 'E69', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.028389930725098 logZ --- 1.0836751461029053
observation --- [164, 845, 718, 791, 579, 868] info --- {'sequence': ['N292', 'N544', 'N388', 'E177', 'E173', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.609150886535645 logZ --- 1.0878089666366577
observation --- [164, 190, 113, 423, 27, 868] info --- {'sequence': ['N292', 'N78', 'N515', 'E86', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.803467750549316 logZ --- 1.0878089666366577
observation --- [640, 320, 464, 700, 115, 868] info --- {'sequence': ['N460', 'N636', 'N662', 'E60', 'E33', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.090445100332461 loss --- 561.3114624023438 logZ --- 1.0878089666366577
observation --- [141, 255, 263, 63, 193, 868] info --- {'sequence': ['N13', 'N543', 'N76', 'E76', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.595157146453857 logZ --- 1.0878089666366577
observation --- [493, 51, 617, 748, 319, 868] info --- {'sequence': ['N557', 'N124', 'N346', 'E22', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.999791622161865 logZ --- 1.0878089666366577
