observation --- [419, 537, 206, 680, 791, 759, 868] info --- {'sequence': ['N225', 'N215', 'N172', 'E104', 'E177', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 37.79545211791992 logZ --- 1.0730555057525635
observation --- [2, 569, 268, 837, 175, 404, 868] info --- {'sequence': ['N80', 'N434', 'N391', 'E139', 'E184', 'E122', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.84512710571289 logZ --- 1.0730555057525635
observation --- [65, 50, 410, 109, 779, 520, 868] info --- {'sequence': ['N186', 'N435', 'N572', 'E40', 'E51', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0143792297539445 loss --- 693.6265258789062 logZ --- 1.0776867866516113
observation --- [424, 552, 668, 847, 610, 286, 868] info --- {'sequence': ['N18', 'N305', 'N651', 'E221', 'E24', 'E54', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 42.26874923706055 logZ --- 1.0776867866516113
observation --- [154, 323, 206, 319, 567, 245, 868] info --- {'sequence': ['N488', 'N89', 'N172', 'E44', 'E3', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0849620279413326 loss --- 693.8202514648438 logZ --- 1.0776867866516113
observation --- [419, 761, 199, 672, 124, 246, 868] info --- {'sequence': ['N225', 'N327', 'N482', 'E201', 'E135', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 31.3365535736084 logZ --- 1.0776867866516113
observation --- [21, 617, 844, 631, 672, 508, 868] info --- {'sequence': ['N411', 'N346', 'N300', 'E187', 'E201', 'E155', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 26.759380340576172 logZ --- 1.0776867866516113
observation --- [575, 461, 839, 260, 827, 682, 868] info --- {'sequence': ['N571', 'N359', 'N364', 'E83', 'E98', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1866402843227084 loss --- 680.844482421875 logZ --- 1.082317590713501
observation --- [356, 706, 206, 403, 328, 494, 868] info --- {'sequence': ['N48', 'N50', 'N172', 'E116', 'E102', 'E165', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 49.174686431884766 logZ --- 1.082317590713501
observation --- [795, 323, 410, 462, 751, 423, 868] info --- {'sequence': ['N408', 'N89', 'N572', 'E31', 'E50', 'E86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.064432632939741 loss --- 758.0540771484375 logZ --- 1.082317590713501
observation --- [424, 807, 268, 299, 286, 620, 868] info --- {'sequence': ['N18', 'N99', 'N391', 'E225', 'E54', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1404349736371404 loss --- 643.444091796875 logZ --- 1.082317590713501
observation --- [626, 226, 844, 716, 755, 764, 868] info --- {'sequence': ['N216', 'N267', 'N300', 'E196', 'E79', 'E69', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 35.41429138183594 logZ --- 1.082317590713501
observation --- [704, 263, 530, 568, 837, 764, 868] info --- {'sequence': ['N485', 'N76', 'N254', 'E154', 'E139', 'E69', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 35.416446685791016 logZ --- 1.0870379209518433
observation --- [67, 91, 530, 755, 420, 168, 868] info --- {'sequence': ['N157', 'N307', 'N254', 'E79', 'E12', 'E159', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1274892358763624 loss --- 703.8969116210938 logZ --- 1.0870379209518433
observation --- [154, 88, 206, 110, 431, 245, 868] info --- {'sequence': ['N488', 'N168', 'N172', 'E202', 'E168', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 37.74858474731445 logZ --- 1.0870379209518433
observation --- [65, 834, 199, 436, 764, 615, 868] info --- {'sequence': ['N186', 'N371', 'N482', 'E208', 'E69', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 31.456037521362305 logZ --- 1.0870379209518433
observation --- [540, 220, 268, 693, 109, 620, 868] info --- {'sequence': ['N695', 'N164', 'N391', 'E95', 'E40', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0321043669662753 loss --- 655.4279174804688 logZ --- 1.0870379209518433
observation --- [334, 710, 530, 440, 528, 548, 868] info --- {'sequence': ['N163', 'N404', 'N254', 'E30', 'E26', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 47.688018798828125 logZ --- 1.0917445421218872
