observation --- [586, 417, 653, 194, 534, 868] info --- {'sequence': ['N682', 'N86', 'N600', 'E36', 'E126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2885616735121603 loss --- 490.4744567871094 logZ --- 1.0768457651138306
observation --- [481, 688, 841, 126, 328, 868] info --- {'sequence': ['N246', 'N125', 'N73', 'E112', 'E102', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.01011061668396 logZ --- 1.0768457651138306
observation --- [89, 125, 806, 120, 280, 868] info --- {'sequence': ['N473', 'N197', 'N156', 'E191', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.22818922996521 logZ --- 1.0768457651138306
observation --- [556, 614, 288, 487, 671, 868] info --- {'sequence': ['N717', 'N328', 'N700', 'E181', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1163362264633179 logZ --- 1.0812082290649414
observation --- [458, 708, 714, 436, 227, 868] info --- {'sequence': ['N610', 'N287', 'N697', 'E208', 'E175', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.5139999389648438 logZ --- 1.0812082290649414
observation --- [602, 310, 90, 643, 23, 868] info --- {'sequence': ['N19', 'N508', 'N450', 'E107', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.266767506708152 loss --- 500.2798156738281 logZ --- 1.0812082290649414
observation --- [695, 786, 834, 157, 784, 868] info --- {'sequence': ['N196', 'N422', 'N371', 'E5', 'E87', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1527294169782776 loss --- 496.1676940917969 logZ --- 1.0812082290649414
observation --- [778, 264, 537, 17, 484, 868] info --- {'sequence': ['N687', 'N554', 'N215', 'E219', 'E109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1158043146133423 logZ --- 1.0812082290649414
observation --- [422, 614, 406, 168, 420, 868] info --- {'sequence': ['N579', 'N328', 'N367', 'E159', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5071890559536707 loss --- 491.2417907714844 logZ --- 1.085554838180542
observation --- [422, 743, 102, 779, 506, 868] info --- {'sequence': ['N579', 'N400', 'N395', 'E51', 'E127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.268466472625732 logZ --- 1.085554838180542
